Model,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Val ROC-AUC,Train ROC-AUC,Overfit Gap,Training Time (s),Description
Logistic Regression,0.7417218543046358,0.5081206496519721,0.7821428571428571,0.6160337552742616,0.8537759698473983,0.836687892211148,0.8540624188852014,0.01737452667405337,6.952777862548828,Interpretable linear baseline. Uses L2 regularization and balanced class weights to handle imbalanced data.
XGBoost,0.7549668874172185,0.5234899328859061,0.8357142857142857,0.6437414030261348,0.8555157198014341,0.8355989294942784,0.8701295538414597,0.03453062434718135,30.61013627052307,Gradient boosting with regularization. Uses scale_pos_weight for class imbalance and L1/L2 regularization to prevent overfitting.
LightGBM,0.7540208136234626,0.5222222222222223,0.8392857142857143,0.6438356164383562,0.8548331494760066,0.8339401070505722,0.8635602435589447,0.029620136508372474,55.310882806777954,Fast gradient boosting with leaf-wise growth. Uses is_unbalance for class imbalance and histogram-based splitting for speed.
